Country,Sport,Year,Athletes,Gold,Silver,Bronze,Total_Medals,Events_Participated,GDP_Index,Population_Millions,Prev_Medals,Host,Medal_per_Athlete,Gold_Ratio,Participation_Rate,Medals_per_Million
Zimbabwe,Rowing,2016,47.0,5.0,2.0,4.0,11.0,,0.252,1269.2,9.0,0,0.234,0.4545,,0.0087
New Zealand,Athletics,1992,5.0,2.0,3.0,,5.0,21.0,0.398,818.08,7.0,0,1.0,0.4,0.2381,0.0061
Hungary,Gymnastics,2016,27.0,2.0,2.0,2.0,6.0,40.0,0.327,807.55,3.0,0,0.2222,0.3333,0.675,0.0074
Brazil,Gymnastics,2016.0,52.0,0.0,,0.0,1.0,25.0,0.962,109.72,0.0,1,0.0192,0.0,2.08,0.0091
Australia,Shooting,2000,8.0,3.0,1.0,3.0,7.0,14.0,0.954,622.34,8.0,1,0.875,0.4286,0.5714,0.0112
India,Boxing,1996,50.0,2.0,0.0,0.0,2.0,23.0,0.561,448.15,0.0,0,0.04,1.0,2.1739,0.0045
Austria,Boxing,2000,5.0,0.0,1.0,0.0,1.0,11.0,0.607,599.08,1.0,0,0.2,0.0,0.4545,0.0017
New Zealand,Rowing,2024,29.0,1.0,2.0,0.0,3.0,29.0,0.973,1320.96,,0,0.1034,0.3333,1.0,0.0023
Canada,Gymnastics,2000,53.0,1.0,0.0,0.0,1.0,35.0,0.283,1164.53,1.0,0,0.0189,1.0,1.5143,0.0009
U.K.,Gymnastics,2020,41.0,1.0,0.0,2.0,3.0,47.0,0.659,1294.18,,0,0.0732,0.3333,0.8723,0.0023
Thailand,Athletics,1996,20.0,0.0,0.0,3.0,3.0,27.0,0.316,,3.0,0,0.15,0.0,0.7407,
UK,Wrestling,2004,24.0,0.0,,1.0,1.0,7.0,0.816,876.89,1.0,0,0.0417,0.0,3.4286,0.0011
Zimbabwe,Athletics,2008,14.0,2.0,1.0,3.0,6.0,17.0,0.859,1128.34,6.0,0,0.4286,0.3333,0.8235,0.0053
Jamaica,Judo,2000,8.0,3.0,0.0,1.0,4.0,20.0,0.433,461.7,5.0,0,0.5,0.75,0.4,0.0087
Dominican Republic,Rowing,1992,,,1.0,2.0,3.0,,0.804,433.65,0.0,0,,,,0.0069
Jamaica,Rowing,2024,32.0,1.0,0.0,1.0,,17.0,0.256,1341.01,0.0,0,,,1.8824,
Jordan,Gymnastics,2024,23.0,0.0,1.0,1.0,2.0,44.0,0.786,1341.5,0.0,0,0.087,0.0,0.5227,0.0015
Cuba,Gymnastics,1992,34.0,,1.0,0.0,1.0,45.0,0.662,,2.0,0,0.0294,,0.7556,
Fiji,Swimming,2000,5.0,5.0,2.0,1.0,8.0,16.0,0.772,696.13,5.0,0,1.6,0.625,0.3125,0.0115
Armenia,Rowing,2024,53.0,3.0,0.0,0.0,3.0,18.0,0.98,1184.84,3.0,0,0.0566,1.0,2.9444,0.0025
Qatar,Boxing,2012,9.0,2.0,2.0,3.0,7.0,12.0,0.22,184.24,5.0,0,0.7778,0.2857,0.75,0.038
Panama,Gymnastics,1992,16.0,2.0,3.0,,6.0,45.0,,207.69,5.0,0,0.375,0.3333,0.3556,0.0289
India,Wrestling,2024,39.0,2.0,0.0,2.0,4.0,33.0,0.475,372.43,1.0,0,0.1026,0.5,1.1818,0.0107
Iran,Gymnastics,2020,44.0,4.0,0.0,1.0,5.0,41.0,0.841,771.31,6.0,0,0.1136,0.8,1.0732,0.0065
Chile,Athletics,1996,22.0,0.0,0.0,0.0,0.0,29.0,0.872,418.67,1.0,0,0.0,0.0,0.7586,0.0
Georgia,Cycling,2020,17.0,4.0,3.0,2.0,9.0,,0.763,948.72,7.0,0,0.5294,0.4444,,0.0095
Trinidad,Rowing,2000,60.0,3.0,1.0,1.0,5.0,,,919.09,4.0,0,0.0833,0.6,,0.0054
Cuba,Rowing,2016,42.0,4.0,2.0,0.0,6.0,2.0,0.443,1006.71,4.0,0,0.1429,0.6667,21.0,0.006
germany,Weightlifting,2000,48.0,4.0,1.0,0.0,5.0,37.0,0.453,7.12,4.0,0,0.1042,0.8,1.2973,0.7022
Spain,Shooting,2004,54.0,1.0,0.0,1.0,2.0,4.0,0.148,681.75,,0,0.037,0.5,13.5,0.0029
Japan,Athletics,1996,34.0,1.0,1.0,0.0,2.0,8.0,,1184.16,3.0,0,0.0588,0.5,4.25,0.0017
Kenya,Athletics,2016,57.0,0.0,0.0,0.0,0.0,39.0,0.871,710.69,0.0,0,0.0,0.0,1.4615,0.0
Dominican Republic,Athletics,2012,37.0,0.0,0.0,0.0,,41.0,0.501,997.44,0.0,0,,,0.9024,
Denmark,Shooting,2008,23.0,0.0,0.0,0.0,0.0,29.0,0.631,1203.32,0.0,0,0.0,0.0,0.7931,0.0
Thailand,Athletics,2008,19.0,0.0,,0.0,1.0,20.0,0.714,442.02,0.0,0,0.0526,0.0,0.95,0.0023
Thailand,Boxing,1992,15.0,4.0,5.0,4.0,13.0,,0.678,575.69,10.0,0,0.8667,0.3077,,0.0226
Denmark,Athletics,2016,1.0,0.0,,1.0,1.0,48.0,0.388,1176.57,1.0,0,1.0,0.0,0.0208,0.0008
Azerbaijan,Weightlifting,2024,43.0,0.0,0.0,0.0,0.0,3.0,0.46,574.75,0.0,0,0.0,0.0,14.3333,0.0
Spain,Wrestling,1996,50.0,5.0,4.0,3.0,12.0,26.0,,1210.66,12.0,0,0.24,0.4167,1.9231,0.0099
Norway,Gymnastics,1992,,3.0,1.0,,6.0,49.0,0.112,227.88,7.0,0,,0.5,,0.0263
Nepal,Shooting,2004,39.0,2.0,1.0,0.0,3.0,21.0,0.603,1292.66,,0,0.0769,0.6667,1.8571,0.0023
Colombia,Weightlifting,2004,28.0,4.0,3.0,2.0,9.0,24.0,0.981,164.27,9.0,0,0.3214,0.4444,1.1667,0.0548
South Korea,Swimming,1996,48.0,0.0,1.0,0.0,1.0,23.0,0.459,674.8,1.0,0,0.0208,0.0,2.087,0.0015
Poland,Gymnastics,1992,35.0,,0.0,0.0,1.0,47.0,0.288,401.24,2.0,0,0.0286,,0.7447,0.0025
Canada,Rowing,2020,42.0,4.0,2.0,2.0,,2.0,0.26,1065.98,8.0,0,,,21.0,
India,Weightlifting,1992.0,10.0,4.0,4.0,3.0,11.0,6.0,0.17,999.13,8.0,0,1.1,0.3636,1.6667,0.011
New Zealand,Rowing,2008,27.0,0.0,2.0,,2.0,4.0,0.697,1322.97,,0,0.0741,0.0,6.75,0.0015
Zimbabwe,Judo,2004,32.0,0.0,0.0,0.0,0.0,15.0,0.803,54.06,1.0,0,0.0,0.0,2.1333,0.0
Iran,Boxing,1992,17.0,0.0,1.0,0.0,1.0,19.0,0.191,1189.72,0.0,0,0.0588,0.0,0.8947,0.0008
Hungary,Rowing,1996,20.0,1.0,0.0,1.0,2.0,6.0,0.969,1317.27,2.0,0,0.1,0.5,3.3333,0.0015
Finland,Wrestling,2004,52.0,2.0,1.0,4.0,7.0,7.0,0.763,123.34,6.0,0,0.1346,0.2857,7.4286,0.0568
Kazakhstan,Shooting,2024,47.0,1.0,2.0,0.0,3.0,7.0,0.961,947.8,3.0,0,0.0638,0.3333,6.7143,0.0032
Greece,Swimming,1992,27.0,0.0,0.0,0.0,0.0,11.0,0.702,1064.27,1.0,0,0.0,0.0,2.4545,0.0
New Zealand,Wrestling,2004,3.0,1.0,4.0,1.0,,26.0,0.227,,3.0,0,,,0.1154,
Norway,Athletics,1992,,1.0,2.0,1.0,4.0,37.0,0.142,936.3,2.0,0,,0.25,,0.0043
Italy,Boxing,1996.0,57.0,2.0,4.0,2.0,8.0,17.0,0.737,215.46,10.0,0,0.1404,0.25,3.3529,0.0371
Japan,Wrestling,2000,6.0,3.0,3.0,2.0,8.0,47.0,0.144,1387.38,9.0,0,1.3333,0.375,0.1277,0.0058
Poland,Wrestling,1996,40.0,5.0,4.0,3.0,12.0,40.0,0.851,923.61,9.0,0,0.3,0.4167,1.0,0.013
UAE,Rowing,2004,1.0,4.0,3.0,4.0,11.0,15.0,0.763,1002.76,8.0,0,11.0,0.3636,0.0667,0.011
Bolivia,Swimming,2016,10.0,2.0,2.0,2.0,6.0,7.0,0.301,1186.25,,0,0.6,0.3333,1.4286,0.0051
Qatar,Gymnastics,1992,,1.0,1.0,4.0,6.0,26.0,0.743,537.38,8.0,0,,0.1667,,0.0112
Italy,Rowing,2004,16.0,1.0,0.0,0.0,1.0,17.0,0.278,806.15,0.0,0,0.0625,1.0,0.9412,0.0012
Belgium,Swimming,2016,12.0,0.0,1.0,,2.0,39.0,0.537,1089.3,4.0,0,0.1667,0.0,0.3077,0.0018
Portugal,Shooting,2004,17.0,1.0,1.0,2.0,4.0,6.0,0.112,654.79,3.0,0,0.2353,0.25,2.8333,0.0061
Australia,Judo,1992,15.0,,2.0,5.0,11.0,16.0,0.215,798.3,12.0,0,0.7333,,0.9375,0.0138
Costa Rica,Gymnastics,2000,14.0,3.0,3.0,0.0,6.0,10.0,0.603,,3.0,0,0.4286,0.5,1.4,
Italy,Swimming,1996,14.0,1.0,1.0,,2.0,37.0,0.748,132.84,4.0,0,0.1429,0.5,0.3784,0.0151
Morocco,Gymnastics,1992,41.0,0.0,0.0,1.0,1.0,39.0,0.997,356.33,3.0,0,0.0244,0.0,1.0513,0.0028
Nigeria,Weightlifting,1992,23.0,,,0.0,0.0,11.0,0.672,219.11,1.0,0,0.0,,2.0909,0.0
Uzbekistan,Rowing,2016,11.0,0.0,0.0,0.0,0.0,38.0,0.405,978.7,0.0,0,0.0,0.0,0.2895,0.0
Turkey,Weightlifting,1996,8.0,2.0,0.0,,2.0,36.0,0.679,853.42,0.0,0,0.25,1.0,0.2222,0.0023
Sri Lanka,Rowing,2016,17.0,0.0,1.0,1.0,2.0,8.0,0.768,,0.0,0,0.1176,0.0,2.125,
Poland,Athletics,1992,33.0,0.0,0.0,,0.0,31.0,0.714,1276.57,0.0,0,0.0,0.0,1.0645,0.0
Rwanda,Athletics,2008,8.0,4.0,2.0,2.0,8.0,27.0,0.781,818.71,9.0,0,1.0,0.5,0.2963,0.0098
Mongolia,Rowing,2012,8.0,3.0,0.0,1.0,4.0,32.0,0.994,690.46,2.0,0,0.5,0.75,0.25,0.0058
South Africa,Wrestling,2000,32.0,3.0,2.0,2.0,7.0,24.0,0.232,417.87,4.0,0,0.2188,0.4286,1.3333,0.0168
Netherlands,Wrestling,2008,37.0,2.0,3.0,2.0,7.0,47.0,,567.35,7.0,0,0.1892,0.2857,0.7872,0.0123
Fiji,Shooting,2004,31.0,0.0,0.0,0.0,0.0,11.0,0.618,552.54,2.0,0,0.0,0.0,2.8182,0.0
Nepal,Shooting,2000,45.0,1.0,2.0,2.0,5.0,,0.172,992.24,,0,0.1111,0.2,,0.005
New Zealand,Gymnastics,1992,38.0,4.0,3.0,2.0,9.0,17.0,,1185.95,11.0,0,0.2368,0.4444,2.2353,0.0076
Kazakhstan,Boxing,2000,1.0,1.0,3.0,0.0,4.0,8.0,0.732,1114.31,4.0,0,4.0,0.25,0.125,0.0036
UAE,Athletics,2004,47.0,2.0,1.0,,7.0,44.0,0.977,11.5,8.0,0,0.1489,0.2857,1.0682,0.6087
Chile,Athletics,1992,21.0,0.0,0.0,0.0,0.0,7.0,0.662,396.27,0.0,0,0.0,0.0,3.0,0.0
Costa Rica,Athletics,2000,26.0,1.0,4.0,2.0,7.0,26.0,0.23,952.18,6.0,0,0.2692,0.1429,1.0,0.0074
Bulgaria,Weightlifting,2012,1.0,4.0,4.0,5.0,13.0,23.0,0.936,567.74,12.0,0,13.0,0.3077,0.0435,0.0229
India,Cycling,2016,10.0,2.0,3.0,1.0,6.0,45.0,0.943,1343.17,5.0,0,0.6,0.3333,0.2222,0.0045
South Africa,Cycling,2020,4.0,2.0,2.0,1.0,5.0,34.0,0.72,773.16,5.0,0,1.25,0.4,0.1176,0.0065
Fiji,Gymnastics,2000,13.0,1.0,,2.0,,29.0,0.965,663.57,5.0,0,,,0.4483,
Bolivia,Wrestling,2012,41.0,2.0,,3.0,7.0,33.0,0.655,327.83,8.0,0,0.1707,0.2857,1.2424,0.0214
Ethiopia,Wrestling,1996,28.0,2.0,0.0,0.0,2.0,1.0,0.378,474.65,0.0,0,0.0714,1.0,28.0,0.0042
Canada,Judo,2012,10.0,2.0,0.0,0.0,2.0,5.0,,467.72,1.0,0,0.2,1.0,2.0,0.0043
Georgia,Athletics,2012,32.0,3.0,4.0,3.0,10.0,5.0,0.233,890.4,10.0,0,0.3125,0.3,6.4,0.0112
Norway,Cycling,2020,14.0,0.0,1.0,0.0,1.0,14.0,0.778,1337.94,0.0,0,0.0714,0.0,1.0,0.0007
Iran,Shooting,2000,4.0,1.0,0.0,0.0,1.0,,0.301,780.82,,0,0.25,1.0,,0.0013
Portugal,Weightlifting,1992,53.0,1.0,1.0,1.0,3.0,,,199.53,1.0,0,0.0566,0.3333,,0.015
Georgia,Boxing,2016,26.0,4.0,2.0,2.0,8.0,28.0,0.994,1033.32,6.0,0,0.3077,0.5,0.9286,0.0077
Japan,Shooting,2016,55.0,,3.0,2.0,8.0,40.0,0.643,1058.82,8.0,0,0.1455,,1.375,0.0076
Rwanda,Wrestling,2000,13.0,2.0,0.0,0.0,2.0,8.0,0.724,825.21,4.0,0,0.1538,1.0,1.625,0.0024
Australia,Athletics,2016,21.0,2.0,2.0,0.0,4.0,29.0,0.798,908.39,6.0,0,0.1905,0.5,0.7241,0.0044
Belgium,Cycling,2012,30.0,4.0,5.0,3.0,12.0,49.0,0.594,1115.0,10.0,0,0.4,0.3333,0.6122,0.0108
Thailand,Judo,2000,44.0,0.0,0.0,1.0,1.0,23.0,0.535,586.33,3.0,0,0.0227,0.0,1.913,0.0017
Bangladesh,Judo,2008,39.0,4.0,1.0,3.0,8.0,7.0,0.712,697.07,10.0,0,0.2051,0.5,5.5714,0.0115
Sweden,Weightlifting,2000,38.0,0.0,0.0,1.0,1.0,43.0,0.208,1033.34,0.0,0,0.0263,0.0,0.8837,0.001
Denmark,Judo,2004,17.0,3.0,2.0,4.0,,34.0,0.828,96.53,10.0,0,,,0.5,
Croatia,Cycling,2008,17.0,4.0,2.0,3.0,9.0,11.0,0.643,1264.51,8.0,0,0.5294,0.4444,1.5455,0.0071
Bangladesh,Wrestling,2000,35.0,1.0,0.0,0.0,1.0,48.0,0.761,364.87,3.0,0,0.0286,1.0,0.7292,0.0027
Georgia,Shooting,2024,17.0,3.0,0.0,0.0,3.0,40.0,0.185,1183.99,2.0,0,0.1765,1.0,0.425,0.0025
Argentina,Wrestling,2012,11.0,3.0,4.0,5.0,12.0,44.0,0.195,311.63,13.0,0,1.0909,0.25,0.25,0.0385
Nigeria,Boxing,2016,40.0,2.0,1.0,4.0,7.0,16.0,0.576,407.82,9.0,0,0.175,0.2857,2.5,0.0172
Germany,Rowing,1996,40.0,2.0,3.0,0.0,5.0,,0.868,356.4,2.0,0,0.125,0.4,,0.014
Jordan,Judo,2004,32.0,5.0,4.0,2.0,11.0,,0.137,212.59,12.0,0,0.3438,0.4545,,0.0517
Ethiopia,Judo,2016,23.0,0.0,2.0,3.0,,5.0,,395.66,2.0,0,,,4.6,
Iran,Athletics,2008,41.0,3.0,3.0,3.0,9.0,26.0,0.418,1190.79,11.0,0,0.2195,0.3333,1.5769,0.0076
Austria,Cycling,2024,29.0,2.0,2.0,2.0,6.0,38.0,0.66,1373.67,6.0,0,0.2069,0.3333,0.7632,0.0044
Georgia,Swimming,1992,34.0,0.0,1.0,2.0,3.0,49.0,0.786,1188.98,3.0,0,0.0882,0.0,0.6939,0.0025
Slovenia,Athletics,2004,,0.0,1.0,0.0,1.0,,0.228,,0.0,0,,0.0,,
Slovakia,Boxing,2004,7.0,,1.0,3.0,7.0,29.0,0.345,736.66,6.0,0,1.0,,0.2414,0.0095
Kazakhstan,Cycling,2004,37.0,0.0,1.0,2.0,3.0,25.0,,758.49,,0,0.0811,0.0,1.48,0.004
Nigeria,Rowing,2020,42.0,3.0,3.0,2.0,8.0,10.0,0.636,,8.0,0,0.1905,0.375,4.2,
Switzerland,Boxing,1992,19.0,1.0,0.0,2.0,3.0,1.0,0.845,1108.37,,0,0.1579,0.3333,19.0,0.0027
Bolivia,Boxing,2016,17.0,1.0,1.0,1.0,3.0,6.0,0.955,213.18,4.0,0,0.1765,0.3333,2.8333,0.0141
Trinidad,Shooting,1992,11.0,3.0,0.0,2.0,5.0,42.0,0.455,224.13,3.0,0,0.4545,0.6,0.2619,0.0223
Nepal,Weightlifting,2024,47.0,3.0,4.0,2.0,9.0,15.0,0.586,152.03,,0,0.1915,0.3333,3.1333,0.0592
USA,Gymnastics,2024,18.0,1.0,4.0,,9.0,30.0,0.508,836.29,8.0,0,0.5,0.1111,0.6,0.0108
Bangladesh,Judo,2004,40.0,3.0,0.0,0.0,3.0,23.0,0.153,421.93,3.0,0,0.075,1.0,1.7391,0.0071
Belarus,Athletics,2016,28.0,4.0,2.0,3.0,9.0,33.0,0.796,1281.04,8.0,0,0.3214,0.4444,0.8485,0.007
Jordan,Athletics,2008,38.0,,3.0,5.0,12.0,19.0,0.96,324.8,9.0,0,0.3158,,2.0,0.0369
Denmark,Athletics,2012,4.0,2.0,1.0,0.0,3.0,21.0,0.587,450.05,2.0,0,0.75,0.6667,0.1905,0.0067
Belgium,Athletics,2004,,0.0,1.0,0.0,1.0,47.0,0.441,1180.56,1.0,0,,0.0,,0.0008
South Africa,Boxing,2016,48.0,1.0,,0.0,1.0,11.0,0.652,,0.0,0,0.0208,1.0,4.3636,
Qatar,Swimming,2012,55.0,0.0,0.0,1.0,1.0,6.0,0.326,1098.17,3.0,0,0.0182,0.0,9.1667,0.0009
Sri Lanka,Athletics,2004,14.0,3.0,2.0,1.0,6.0,14.0,0.454,,7.0,0,0.4286,0.5,1.0,
Switzerland,Cycling,1992,,3.0,0.0,,5.0,5.0,,852.39,3.0,0,,0.6,,0.0059
Panama,Gymnastics,1996,16.0,3.0,2.0,2.0,7.0,46.0,0.775,43.63,5.0,0,0.4375,0.4286,0.3478,0.1604
Qatar,Weightlifting,2016,21.0,3.0,0.0,3.0,6.0,46.0,0.822,968.14,3.0,0,0.2857,0.5,0.4565,0.0062
Azerbaijan,Judo,2004,32.0,2.0,2.0,1.0,5.0,25.0,0.721,10.11,3.0,0,0.1562,0.4,1.28,0.4946
Mexico,Shooting,2004,1.0,3.0,,3.0,8.0,23.0,0.275,582.37,5.0,0,8.0,0.375,0.0435,0.0137
Netherlands,Judo,1992,32.0,0.0,0.0,1.0,1.0,12.0,0.275,714.92,2.0,0,0.0312,0.0,2.6667,0.0014
Costa Rica,Cycling,2012,,1.0,,2.0,7.0,42.0,0.908,,8.0,0,,0.1429,,
Malaysia,Boxing,2004,38.0,5.0,3.0,3.0,11.0,10.0,0.105,543.95,,0,0.2895,0.4545,3.8,0.0202
Ethiopia,Athletics,1992,21.0,0.0,0.0,,2.0,29.0,0.565,256.19,0.0,0,0.0952,0.0,0.7241,0.0078
Nigeria,Cycling,2008,,3.0,2.0,3.0,8.0,21.0,,1195.02,,0,,0.375,,0.0067
Cambodia,Weightlifting,1992,45.0,1.0,2.0,,,28.0,0.868,1335.08,3.0,0,,,1.6071,
Thailand,Judo,2024,37.0,2.0,1.0,1.0,4.0,35.0,0.155,44.27,1.0,0,0.1081,0.5,1.0571,0.0904
Canada,Swimming,2000,25.0,1.0,1.0,0.0,2.0,36.0,0.45,223.02,1.0,0,0.08,0.5,0.6944,0.009
Armenia,Rowing,2016,50.0,2.0,3.0,,7.0,2.0,0.416,167.0,5.0,0,0.14,0.2857,25.0,0.0419
Finland,Judo,2000,41.0,0.0,1.0,1.0,2.0,30.0,0.985,,0.0,0,0.0488,0.0,1.3667,
Croatia,Wrestling,1996,1.0,4.0,4.0,2.0,10.0,11.0,0.691,1125.25,9.0,0,10.0,0.4,0.0909,0.0089
Nigeria,Gymnastics,2020,41.0,3.0,2.0,0.0,5.0,3.0,0.651,234.0,3.0,0,0.122,0.6,13.6667,0.0214
Belgium,Swimming,2012,12.0,1.0,0.0,0.0,1.0,3.0,0.415,117.48,0.0,0,0.0833,1.0,4.0,0.0085
Iran,Cycling,2000,56.0,2.0,1.0,,4.0,15.0,0.66,678.78,5.0,0,0.0714,0.5,3.7333,0.0059
Poland,Gymnastics,2024,35.0,0.0,0.0,0.0,0.0,28.0,0.305,270.36,2.0,0,0.0,0.0,1.25,0.0
Mongolia,Shooting,2008,2.0,3.0,3.0,0.0,6.0,21.0,0.235,1156.54,7.0,0,3.0,0.5,0.0952,0.0052
Australia,Rowing,2008,38.0,2.0,,0.0,2.0,15.0,0.137,957.34,2.0,0,0.0526,1.0,2.5333,0.0021
Mongolia,Cycling,1996,30.0,2.0,0.0,1.0,3.0,13.0,0.44,1216.97,0.0,0,0.1,0.6667,2.3077,0.0025
Iran,Wrestling,2008,61.0,0.0,0.0,,0.0,5.0,0.221,1171.95,0.0,0,0.0,0.0,12.2,0.0
Italy,Cycling,2020,55.0,0.0,0.0,2.0,2.0,13.0,0.902,133.15,,0,0.0364,0.0,4.2308,0.015
UAE,Judo,2024,61.0,5.0,3.0,1.0,,33.0,0.964,794.23,10.0,0,,,1.8485,
Cambodia,Athletics,2004,17.0,2.0,1.0,2.0,5.0,28.0,0.303,506.53,5.0,0,0.2941,0.4,0.6071,0.0099
Poland,Judo,2004,,2.0,2.0,1.0,5.0,13.0,0.857,484.9,5.0,0,,0.4,,0.0103
Iran,Cycling,2008,54.0,3.0,2.0,3.0,8.0,45.0,0.836,805.22,8.0,0,0.1481,0.375,1.2,0.0099
Ukraine,Cycling,1992,31.0,2.0,2.0,0.0,4.0,,0.539,1062.95,5.0,0,0.129,0.5,,0.0038
Argentina,Weightlifting,2004,18.0,4.0,4.0,4.0,12.0,11.0,0.118,1096.79,12.0,0,0.6667,0.3333,1.6364,0.0109
Costa Rica,Cycling,2004,39.0,2.0,1.0,3.0,6.0,12.0,0.229,452.14,6.0,0,0.1538,0.3333,3.25,0.0133
Lithuania,Rowing,2004,49.0,2.0,4.0,2.0,8.0,41.0,0.145,665.68,9.0,0,0.1633,0.25,1.1951,0.012
Lithuania,Swimming,2008,1.0,1.0,,1.0,2.0,25.0,0.96,577.99,0.0,0,2.0,0.5,0.04,0.0035
Latvia,Athletics,2016,43.0,0.0,0.0,0.0,0.0,42.0,0.343,1227.85,2.0,0,0.0,0.0,1.0238,0.0
South Korea,Gymnastics,2000,10.0,0.0,0.0,0.0,0.0,6.0,0.401,465.26,0.0,0,0.0,0.0,1.6667,0.0
Mongolia,Wrestling,1992,28.0,3.0,1.0,1.0,5.0,26.0,0.574,755.66,3.0,0,0.1786,0.6,1.0769,0.0066
Brazil,Cycling,2020,39.0,0.0,0.0,0.0,0.0,11.0,0.78,941.59,0.0,0,0.0,0.0,3.5455,0.0
Lebanon,Wrestling,2016,28.0,,2.0,4.0,8.0,17.0,0.297,844.52,10.0,0,0.2857,,1.6471,0.0095
China,Swimming,2000,26.0,,2.0,2.0,8.0,41.0,0.327,1276.41,6.0,0,0.3077,,0.6341,0.0063
Armenia,Cycling,2004,23.0,1.0,0.0,,1.0,47.0,0.672,332.83,0.0,0,0.0435,1.0,0.4894,0.003
Slovakia,Rowing,2024,23.0,2.0,1.0,3.0,6.0,30.0,,698.2,6.0,0,0.2609,0.3333,0.7667,0.0086
U.K.,Gymnastics,2004,37.0,1.0,1.0,1.0,3.0,18.0,0.203,518.0,2.0,0,0.0811,0.3333,2.0556,0.0058
Zimbabwe,Boxing,2016,60.0,2.0,3.0,4.0,9.0,28.0,0.585,638.55,8.0,0,0.15,0.2222,2.1429,0.0141
India,Judo,2016,52.0,,4.0,1.0,7.0,7.0,0.902,466.99,6.0,0,0.1346,,7.4286,0.015
South Africa,Gymnastics,1996,7.0,1.0,,0.0,1.0,35.0,0.427,614.67,0.0,0,0.1429,1.0,0.2,0.0016
FRANCE,Wrestling,2020,24.0,3.0,2.0,,5.0,34.0,0.979,1016.23,6.0,0,0.2083,0.6,0.7059,0.0049
Qatar,Rowing,2000,44.0,5.0,2.0,3.0,10.0,47.0,0.302,130.45,8.0,0,0.2273,0.5,0.9362,0.0767
Egypt,Weightlifting,2016,48.0,0.0,1.0,0.0,,41.0,0.327,728.58,1.0,0,,,1.1707,
Greece,Cycling,1996,34.0,1.0,3.0,2.0,6.0,38.0,0.394,101.24,3.0,0,0.1765,0.1667,0.8947,0.0593
Sri Lanka,Gymnastics,2020,15.0,,0.0,,1.0,2.0,0.944,951.91,3.0,0,0.0667,,7.5,0.0011
Spain,Gymnastics,2020,43.0,0.0,0.0,0.0,,25.0,0.7,171.34,1.0,0,,,1.72,
Senegal,Judo,2024,55.0,2.0,4.0,,11.0,13.0,0.825,474.72,8.0,0,0.2,0.1818,4.2308,0.0232
Mongolia,Weightlifting,1992,58.0,2.0,3.0,2.0,7.0,10.0,0.558,116.36,,0,0.1207,0.2857,5.8,0.0602
Ethiopia,Gymnastics,1996,18.0,1.0,0.0,2.0,3.0,15.0,0.334,1189.33,1.0,0,0.1667,0.3333,1.2,0.0025
Malaysia,Wrestling,2012,5.0,2.0,2.0,1.0,5.0,49.0,0.881,1301.16,6.0,0,1.0,0.4,0.102,0.0038
Sri Lanka,Wrestling,2024,42.0,2.0,,3.0,5.0,2.0,0.213,406.33,2.0,0,0.119,0.4,21.0,0.0123
USA,Rowing,2004,7.0,4.0,4.0,,,8.0,0.317,1169.67,8.0,0,,,0.875,
Cambodia,Boxing,1996,46.0,0.0,,3.0,5.0,34.0,0.107,135.65,5.0,0,0.1087,0.0,1.3529,0.0369
Kazakhstan,Swimming,2004,34.0,2.0,5.0,4.0,,35.0,0.794,104.59,9.0,0,,,0.9714,
Belgium,Wrestling,1996,63.0,4.0,2.0,3.0,9.0,43.0,0.327,687.64,10.0,0,0.1429,0.4444,1.4651,0.0131
Kenya,Athletics,2024,56.0,1.0,0.0,0.0,1.0,23.0,,1233.14,3.0,0,0.0179,1.0,2.4348,0.0008
Croatia,Swimming,2000.0,41.0,2.0,0.0,0.0,2.0,30.0,0.362,761.67,1.0,0,0.0488,1.0,1.3667,0.0026
Cambodia,Weightlifting,2004,52.0,0.0,3.0,3.0,6.0,7.0,0.425,349.87,8.0,0,0.1154,0.0,7.4286,0.0171
Azerbaijan,Boxing,2020,13.0,1.0,0.0,1.0,2.0,,0.924,549.5,0.0,0,0.1538,0.5,,0.0036
Norway,Judo,2012,,,0.0,0.0,,9.0,0.735,685.43,1.0,0,,,,
Ethiopia,Rowing,2000,31.0,5.0,2.0,4.0,11.0,2.0,,1311.54,,0,0.3548,0.4545,15.5,0.0084
Canada,Swimming,2024,19.0,0.0,0.0,0.0,0.0,48.0,0.155,385.27,2.0,0,0.0,0.0,0.3958,0.0
Romania,Gymnastics,2000,56.0,2.0,1.0,0.0,3.0,12.0,0.599,439.91,1.0,0,0.0536,0.6667,4.6667,0.0068
Finland,Rowing,2000.0,26.0,2.0,,1.0,5.0,,0.707,1055.08,5.0,0,0.1923,0.4,,0.0047
Azerbaijan,Athletics,2004,31.0,2.0,4.0,3.0,9.0,11.0,0.641,72.11,9.0,0,0.2903,0.2222,2.8182,0.1248
Canada,Athletics,2000,11.0,2.0,2.0,0.0,4.0,15.0,0.578,919.62,2.0,0,0.3636,0.5,0.7333,0.0043
Belarus,Gymnastics,2012,28.0,0.0,2.0,0.0,2.0,,0.42,64.3,2.0,0,0.0714,0.0,,0.0311
Serbia,Swimming,1996,56.0,1.0,,0.0,1.0,32.0,0.292,1303.3,0.0,0,0.0179,1.0,1.75,0.0008
Argentina,Judo,2008,39.0,,0.0,0.0,0.0,28.0,0.13,637.96,0.0,0,0.0,,1.3929,0.0
